FindingID,ReviewID,Protocol,InterventionID,Intervention_Name,Comparison,OutcomeMeasureID,Outcome_Measure,Outcome_Domain,Period,Sample_Description,Is_Subgroup,Outcome_Sample_Size,Outcome_Measure_Intervention_Sample_Size,Outcome_Measure_Comparison_Sample_Size,Intervention_Clusters_Sample_Size,Comparison_Clusters_Sample_Size,Intervention_Mean,Comparison_Mean,Intervention_Standard_Deviation,Comparison_Standard_Deviation,Effect_Size_Study,Effect_Size_WWC,Improvement_Index,p_Value_Study,p_Value_WWC,ICC,Clusters_Total,Is_Statistically_Significant,Finding_Rating,ESSA_Rating,L1_Unit_of_Analysis,FavorableUnfavorableDesignation
22836,1905489,Assisting Students Struggling with Mathematics: Intervention in the Elementary Grades Practice Guide Review Protocol,2516,Fraction intervention with a word problem component–Fuchs et al. (2016),Fraction intervention with an explanation component–Fuchs et al. (2016),18469,National Assessment of Educational Progress (NAEP) selected items,Rational Numbers Knowledge,4 Weeks,Word problem component intervention vs. Explanation component intervention,False,142,69,73,69,73,15.19,14.44,4.2,3.35,0.2,0.196995434526919,8,,0.243813720377036,,,False,1,,Student,
22838,1905489,Assisting Students Struggling with Mathematics: Intervention in the Elementary Grades Practice Guide Review Protocol,2516,Fraction intervention with a word problem component–Fuchs et al. (2016),Fraction intervention with an explanation component–Fuchs et al. (2016),18831,Fraction Battery-Revised: Addition/Subtraction,Rational Numbers Computation,4 Weeks,Word problem component intervention vs. Explanation component intervention,False,142,69,73,69,73,21.59,20.45,7.1,6.63,0.16,0.165233334193203,7,,0.327584308305537,,,False,1,,Student,
22839,1905489,Assisting Students Struggling with Mathematics: Intervention in the Elementary Grades Practice Guide Review Protocol,2516,Fraction intervention with a word problem component–Fuchs et al. (2016),Fraction intervention with an explanation component–Fuchs et al. (2016),18468,Multiplicative Word Problems from the 2012 Fraction Battery,Rational Numbers Word Problems/Problem Solving,4 Weeks,Word problem component intervention vs. Explanation component intervention,False,142,69,73,69,73,13.57,5.91,6.48,3.84,1.48,1.44038072184622,43,,3.02158298381983E-12,,,True,1,Evidence Tier 3,Student,
22840,1905489,Assisting Students Struggling with Mathematics: Intervention in the Elementary Grades Practice Guide Review Protocol,2516,Fraction intervention with a word problem component–Fuchs et al. (2016),Fraction intervention with an explanation component–Fuchs et al. (2016),18834,Fraction Battery-Revised: Fraction Magnitude Explanations,Rational Numbers Magnitude Understanding/Relative Magnitude Understanding,4 Weeks,Word problem component intervention vs. Explanation component intervention,False,142,69,73,69,73,4.84921393595912,9.1,3.89,9.3,-0.93,-0.587272612614983,-22,,0.000807781477942804,,,True,1,,Student,
22841,1905489,Assisting Students Struggling with Mathematics: Intervention in the Elementary Grades Practice Guide Review Protocol,2516,Fraction intervention with a word problem component–Fuchs et al. (2016),Fraction intervention with an explanation component–Fuchs et al. (2016),18835,Fraction Battery-Revised: Fraction Magnitude Comparisons,Rational Numbers Magnitude Understanding/Relative Magnitude Understanding,4 Weeks,Word problem component intervention vs. Explanation component intervention,False,142,69,73,69,73,6.26914085551748,6.47,1.38,1.09,-0.43,-0.161196853731971,-6,,0.339460119523618,,,False,1,,Student,
24884,1905412,Assisting Students Struggling with Mathematics: Intervention in the Elementary Grades Practice Guide Review Protocol,1903,Targeted Math Intervention,Business as usual,17347,Test of Early Mathematics Ability (TEMA-3),General Mathematics Achievement,0 Days,Full sample,False,881,555,326,38,38,88.32,84.04,12.64,12.74,0.34,0.337329408076491,,0.001,2.08169810345105E-06,,,True,2,Evidence Tier 2,Student,
24885,1904735,Primary Mathematics,1209,Fraction Face-Off!,Business as usual,18531,Compare fractions,Number and Operations,2 Weeks,Overall - Student cohorts 1 to 3: low-performing students,True,205,121,84,121,84,11.36,7.67,7.43,4.63,,0.571380911522392,22,,0.000109244046953672,,,True,1,,Student,
24887,1904735,Primary Mathematics,1209,Fraction Face-Off!,Business as usual,18535,Fraction calculation,Number and Operations,2 Weeks,Overall - Student cohorts 1 to 3: low-performing students,True,205,121,84,121,84,16.11,7.21,10.98,6.45,,0.943748845760181,33,,1.66948244118004E-09,,,True,1,,Student,
24889,1904735,Primary Mathematics,1209,Fraction Face-Off!,Business as usual,1741,National Assessment of Educational Progress (NAEP) selected items,General Mathematics Achievement,2 Weeks,Overall - Student cohorts 1 to 3: low performing students,True,205,121,84,121,84,12.74,10.08,7.98,5.4,,0.376425953786088,15,,0.00923869449127823,,,True,1,,Student,Favorable
24902,1904735,Primary Mathematics,1209,Fraction Face-Off!,Fraction Face-Off!,18532,Fraction number line,Number and Operations,2 Weeks,Overall - Student cohort 2: fluency group vs. conceptual group,True,163,84,79,84,79,0.19,0.2,0.08,0.07,,0.132145213,5,,0.400893216854601,,,False,1,,Student,Favorable
24906,1905490,Assisting Students Struggling with Mathematics: Intervention in the Elementary Grades Practice Guide Review Protocol,1903,Targeted Math Intervention,Business as usual,18502,Fraction Calculations,Rational Numbers Computation,1 Week,Multiplicative Word Problem Intervention vs. Business as usual comparison,False,142,72,70,72,70,19.67,11.39,8.49,5.09,1.22,1.17263976195344,39,,5.27207832945464E-10,,,True,1,Evidence Tier 3,Student,
24907,1905490,Assisting Students Struggling with Mathematics: Intervention in the Elementary Grades Practice Guide Review Protocol,1903,Targeted Math Intervention,Business as usual,18468,Multiplicative Word Problems from the 2012 Fraction Battery,Rational Numbers Word Problems/Problem Solving,1 Week,Multiplicative Word Problem Intervention vs. Business as usual comparison,False,142,72,70,72,70,13.48,7.69,6.59,4.74,1.06,1.00102173377149,36,,2.41306113979434E-08,,,True,1,Evidence Tier 3,Student,
24908,1905490,Assisting Students Struggling with Mathematics: Intervention in the Elementary Grades Practice Guide Review Protocol,1903,Targeted Math Intervention,Business as usual,18696,Additive Word Problems from the Fraction Battery–2012,Rational Numbers Word Problems/Problem Solving,1 Week,Multiplicative Word Problem Intervention vs. Business as usual comparison,False,142,72,70,72,70,13.49,8.11,5.94,3.86,1.1,1.06518409888103,36,,9.29675492145066E-09,,,True,1,Evidence Tier 3,Student,
24910,1905491,Assisting Students Struggling with Mathematics: Intervention in the Elementary Grades Practice Guide Review Protocol,2519,Fraction Face-Off! with multiplicative word problems,Fraction Face-Off! with additive word problems,18502,Fraction Calculations,Rational Numbers Computation,1 Week,Multiplicative Word Problem Intervention vs. Additive Word Problem Intervention ,False,143,72,71,72,71,19.67,21.4,8.49,6.68,-0.23,-0.225080884357397,-9,,0.17266448216753,,,False,1,,Student,
24912,1905491,Assisting Students Struggling with Mathematics: Intervention in the Elementary Grades Practice Guide Review Protocol,2519,Fraction Face-Off! with multiplicative word problems,Fraction Face-Off! with additive word problems,18494,Fraction Number Line,Rational Numbers Magnitude Understanding/Relative Magnitude Understanding,1 Week,Multiplicative Word Problem Intervention vs. Additive Word Problem Intervention,False,143,72,71,72,71,0.17,0.19,0.08,0.09,0.22,-0.23373365876934,9,,0.191848853363676,,,False,1,,Student,
24913,1905491,Assisting Students Struggling with Mathematics: Intervention in the Elementary Grades Practice Guide Review Protocol,2519,Fraction Face-Off! with multiplicative word problems,Fraction Face-Off! with additive word problems,18696,Additive Word Problems from the Fraction Battery–2012,Rational Numbers Word Problems/Problem Solving,1 Week,Multiplicative Word Problem Intervention vs. Additive Word Problem Intervention,False,143,72,71,72,71,13.49,15.31,5.94,6.44,-0.29,-0.292301259915436,-11,,0.0867433082735389,,,False,1,,Student,
24914,1905491,Assisting Students Struggling with Mathematics: Intervention in the Elementary Grades Practice Guide Review Protocol,2519,Fraction Face-Off! with multiplicative word problems,Fraction Face-Off! with additive word problems,18468,Multiplicative Word Problems from the 2012 Fraction Battery,Rational Numbers Word Problems/Problem Solving,1 Week,Multiplicative Word Problem Intervention vs. Additive Word Problem Intervention,False,143,72,71,72,71,13.48,8.31,6.59,5.14,0.89,0.869429608783212,31,,1.19761937644736E-06,,,True,1,Evidence Tier 3,Student,
24916,1905491,Assisting Students Struggling with Mathematics: Intervention in the Elementary Grades Practice Guide Review Protocol,2519,Fraction Face-Off! with multiplicative word problems,Fraction Face-Off! with additive word problems,18469,National Assessment of Educational Progress (NAEP) selected items,Rational Numbers Knowledge,1 Week,Multiplicative Word Problem Intervention vs. Additive Word Problem Intervention,False,143,72,71,72,71,15.2,14.7,4.35,4.02,0.12,0.118712288187554,5,,0.47466270407423,,,False,1,,Student,
24997,1905258,Assisting Students Struggling with Mathematics: Intervention in the Elementary Grades Practice Guide Review Protocol,2527,Math Flash with fact retrieval tutoring,Reading Flash with word-identification tutoring,18615,Fact Retrieval factor score,Whole Numbers Computation,1 Week,Fact Retrieval tutoring vs. word-identification (reading) tutoring ,False,67,32,35,32,35,0.49,-0.21,0.94,1.07,0.78,0.684981046207159,25,,0.0083184676063156,,,False,1,,Student,
24998,1905258,Assisting Students Struggling with Mathematics: Intervention in the Elementary Grades Practice Guide Review Protocol,2527,Math Flash with fact retrieval tutoring,Reading Flash with word-identification tutoring,18616,Procedural Computation factor score,Whole Numbers Computation,1 Week,Fact Retrieval tutoring vs. word-identification (reading) tutoring,False,67,32,35,32,35,0.16,-0.15,0.93,1.01,0.43,0.315019625683853,12,,0.205066296138474,,,False,1,,Student,
24999,1905258,Assisting Students Struggling with Mathematics: Intervention in the Elementary Grades Practice Guide Review Protocol,2527,Math Flash with fact retrieval tutoring,Reading Flash with word-identification tutoring,18617,Computational Estimation,Whole Numbers Magnitude Understanding/Relative Magnitude Understanding,1 Week,Fact Retrieval tutoring vs. word-identification (reading) tutoring,False,67,32,35,32,35,-0.26,-0.51,0.99,0.93,0.36,0.257646176027394,10,,0.298030898518569,,,False,1,,Student,
25000,1905258,Assisting Students Struggling with Mathematics: Intervention in the Elementary Grades Practice Guide Review Protocol,2527,Math Flash with fact retrieval tutoring,Reading Flash with word-identification tutoring,18618,Story Problems factor score,Whole Numbers Word Problems/Problem Solving,1 Week,Fact Retrieval tutoring vs. word-identification (reading) tutoring,False,67,32,35,32,35,0.14,-0.08,1.07,1.04,0.37,0.206229909201563,8,,0.403454675408439,,,False,1,,Student,
25001,1905258,Assisting Students Struggling with Mathematics: Intervention in the Elementary Grades Practice Guide Review Protocol,2527,Math Flash with fact retrieval tutoring,Reading Flash with word-identification tutoring,18619,Math Concepts factor score,General Mathematics Achievement,1 Week,Fact Retrieval tutoring vs. word-identification (reading) tutoring,False,67,32,35,32,35,-0.08,-0.08,1.11,1.04,0.08,0,0,,1,,,False,1,,Student,
25002,1905259,Assisting Students Struggling with Mathematics: Intervention in the Elementary Grades Practice Guide Review Protocol,1903,Targeted Math Intervention,(Not applicable),18615,Fact Retrieval factor score,Whole Numbers Computation,1 Week,Fact Retrieval and Procedural Estimation (Combined) tutoring vs. word-identification (reading) tutoring contrast,False,66,31,35,31,35,-0.16,-0.21,0.92,1.07,-0.04,0.049289233029482,2,,0.842248654472641,,,False,2,,Student,
25004,1905259,Assisting Students Struggling with Mathematics: Intervention in the Elementary Grades Practice Guide Review Protocol,1903,Targeted Math Intervention,(Not applicable),18616,Procedural Computation factor score,Whole Numbers Computation,1 Week,Fact Retrieval and Procedural Estimation (Combined) tutoring vs. word-identification (reading) tutoring contrast,False,66,31,35,31,35,-0.03,-0.15,1.04,1.01,0.02,0.115789383396204,5,,0.640580162837962,,,False,2,,Student,
25005,1905259,Assisting Students Struggling with Mathematics: Intervention in the Elementary Grades Practice Guide Review Protocol,1903,Targeted Math Intervention,(Not applicable),18617,Computational Estimation,Whole Numbers Magnitude Understanding/Relative Magnitude Understanding,1 Week,Fact Retrieval and Procedural Estimation (Combined) tutoring vs. word-identification (reading) tutoring contrast,False,66,31,35,31,35,0.24,-0.51,0.87,0.93,0.88,0.821364773750554,29,,0.00213512934178051,,,True,2,Evidence Tier 3,Student,
25006,1905259,Assisting Students Struggling with Mathematics: Intervention in the Elementary Grades Practice Guide Review Protocol,1903,Targeted Math Intervention,(Not applicable),18618,Story Problems factor score,Whole Numbers Word Problems/Problem Solving,1 Week,Fact Retrieval and Procedural Estimation (Combined) tutoring vs. word-identification (reading) tutoring contrast,False,66,31,35,31,35,0.03,-0.08,0.95,1.04,-0.01,0.108834007783405,4,,0.660713785760398,,,False,2,,Student,
25008,1905259,Assisting Students Struggling with Mathematics: Intervention in the Elementary Grades Practice Guide Review Protocol,1903,Targeted Math Intervention,(Not applicable),18619,Math Concepts factor score,General Mathematics Achievement,1 Week,Fact Retrieval and Procedural Estimation (Combined) tutoring vs. word-identification (reading) tutoring contrast,False,66,31,35,31,35,0.08,-0.08,0.99,1.04,0.05,0.155494660250188,6,,0.531219030570559,,,False,2,,Student,
25012,1905257,Assisting Students Struggling with Mathematics: Intervention in the Elementary Grades Practice Guide Review Protocol,2467,Fact retrieval tutoring—Fuchs et al. (2008),Tutoring,18617,Computational Estimation,Whole Numbers Magnitude Understanding/Relative Magnitude Understanding,1 Week,Fact Retrieval tutoring vs. Fact Retrieval and Procedural Estimation (Combined) tutoring,False,63,32,31,32,31,-0.26,0.24,0.99,0.87,-0.49,-0.529338056213275,-20,,0.0431459517737743,,,True,2,,Student,
25073,1905390,Review of Individual Studies,1360,James Madison Legacy Project (JMLP),Business as usual,18751,Knowledge of civics and American government - Middle school,Academic achievement,0 Days,JMLP and comparison groups; excludes JMLP hybrid group,False,2941,1627,1314,27,25,14.37,11.91,4.86,4.57,0.39,0.519661910331184,20,0.01,0,,,True,2,Evidence Tier 2,Student,
25074,1905390,Review of Individual Studies,1360,James Madison Legacy Project (JMLP),Business as usual,18751,Knowledge of civics and American government - Middle school,Academic achievement,0 Days,JMLP hybrid vs. comparison; excludes JMLP group,False,2353,1039,1314,28,25,13.66,11.91,4.92,4.57,0.24,0.370038747289306,14,0.01,0,,,True,2,Evidence Tier 2,Student,
25075,1905390,Review of Individual Studies,1360,James Madison Legacy Project (JMLP),Business as usual,18750,Knowledge of civics and American government  - High school,Academic achievement,0 Days,JMLP hybrid vs. comparison; excludes JMLP group,False,3619,1731,1888,48,46,18.48,16.17,6.46,6.42,0.36,0.358667892437519,14,0.01,0,,,True,2,Evidence Tier 2,Student,
25091,1905572,Assisting Students Struggling with Mathematics: Intervention in the Elementary Grades Practice Guide Review Protocol,1903,Targeted Math Intervention,Business as usual,18939,0-2 Fraction Number Line,Rational Numbers Magnitude Understanding/Relative Magnitude Understanding,0 Days,Super Solvers + Error Analysis group vs. control group contrast,False,97,45,52,45,52,0.32,0.52,0.13,0.16,1.35,,41,,3.69556045765052E-08,,,True,2,Evidence Tier 3,Student,
25112,1905509,Assisting Students Struggling with Mathematics: Intervention in the Elementary Grades Practice Guide Review Protocol,1903,Targeted Math Intervention,Business as usual,18868,Comprehensive Mathematical Abilities Test and KeyMath problem-solving subtests,Whole Numbers Word Problems/Problem Solving,0 Days,Complete intervention group vs. comparison group with MD,False,45,25,20,25,20,1.1,0.72,5.24,5.11,,0.0720309083568411,3,0.05,0.81142472724856,,,False,2,,Student,
26208,1905572,Assisting Students Struggling with Mathematics: Intervention in the Elementary Grades Practice Guide Review Protocol,1903,Targeted Math Intervention,Business as usual,18941,Ordering Fractions,Rational Numbers Magnitude Understanding/Relative Magnitude Understanding,0 Days,Super Solvers + Error Analysis group vs. control group contrast,False,97,45,52,45,52,6.05,2.44,3.28,2.13,1.31,,40,,7.07080832773599E-08,,,True,2,Evidence Tier 3,Student,
26274,1904589,Adolescent Literacy,1193,Intelligent Tutoring for Structure Strategy (ITSS),Business as usual,1862,Gray Silent Reading Test (GSRT),Comprehension,0 Days,Aggregated sample,False,4856,2466,2390,125,119,32.12,30.42,11.52,11.37,,0.148495103724221,6,0.01,4.36440721229836E-07,,,True,1,Evidence Tier 1,Student,
26275,1904589,Adolescent Literacy,1193,Intelligent Tutoring for Structure Strategy (ITSS),Business as usual,22833,Short Comparison Text: Competence Test,Comprehension,0 Days,Aggregated sample,False,4040,2144,1896,108,101,4.25,3.71,2.39,2.38,,0.22634339992015,9,0.01,6.36768415773759E-12,,,True,1,Evidence Tier 1,Student,
26276,1904589,Adolescent Literacy,1193,Intelligent Tutoring for Structure Strategy (ITSS),Business as usual,22834,Short Comparison Text: Main Idea Test,Comprehension,0 Days,Aggregated sample,False,4035,2146,1889,108,101,3.46,2.65,1.58,1.58,,0.512562885049543,20,0.01,0,,,True,1,Evidence Tier 1,Student,
26277,1904589,Adolescent Literacy,1193,Intelligent Tutoring for Structure Strategy (ITSS),Business as usual,22835,Short Comparison Text: Total Recall Test,Comprehension,0 Days,Aggregated sample,False,4073,2160,1913,108,101,26.17,22.37,16.98,16.53,,0.226551263806965,9,0.01,5.0851545196906E-12,,,True,1,Evidence Tier 1,Student,
26278,1904589,Adolescent Literacy,1193,Intelligent Tutoring for Structure Strategy (ITSS),Business as usual,22836,Problem/Solution Text: Competence Test,Comprehension,0 Days,Aggregated sample,False,4084,2169,1915,108,101,3.54,3.21,2.36,2.35,,0.140082819887262,6,0.01,1.15005194304407E-05,,,True,1,Evidence Tier 1,Student,
26279,1904589,Adolescent Literacy,1193,Intelligent Tutoring for Structure Strategy (ITSS),Business as usual,22837,Problem/Solution Text: Total Recall Test,Comprehension,0 Days,Aggregated sample,False,4090,2172,1918,108,101,17.93,15.76,11.66,11.6,,0.18652166777481,7,0.01,7.88701226550614E-09,,,True,1,Evidence Tier 1,Student,
26296,1905582,Review of Individual Studies,1464,Adult Education,Business as usual,18977,Read Words (word recognition),Alphabetics,0 Days,Full sample,False,34,17,17,17,17,36.88,33.59,4.31,9.04,,0.453610786293077,17,0.23,0.200648899631777,,,False,1,,Student,
26301,1905582,Review of Individual Studies,1464,Adult Education,Business as usual,18979,Spell words (spelling),Alphabetics,0 Days,Full sample,False,34,17,17,17,17,32.06,29.88,8.07,11.17,,0.218440953200893,9,0.22,0.529963286759574,,,False,1,,Student,
26306,1905582,Review of Individual Studies,1464,Adult Education,Business as usual,18980,Match definitions (vocabulary),Comprehension,0 Days,Full sample,False,34,17,17,17,17,28.56,26.41,7.8,8.24,,0.26164878218349,10,0.43,0.453060957746898,,,False,1,,Student,
26307,1905582,Review of Individual Studies,1464,Adult Education,Business as usual,18981,Complete sentences,Comprehension,0 Days,Full sample,False,34,17,17,17,17,28.56,26.53,7.8,9.17,,0.232836735697214,9,0.98,0.503558169938294,,,False,1,,Student,
26308,1905582,Review of Individual Studies,1464,Adult Education,Business as usual,238,Woodcock-Johnson III (WJ-III): Letter-Word Identification subtest,Alphabetics,0 Days,Full sample,False,34,17,17,17,17,86.29,82.12,7.31,10.64,,0.446038103978003,17,0.01,0.208175000177423,,,False,1,,Student,
26309,1905582,Review of Individual Studies,1464,Adult Education,Business as usual,15862,Woodcock-Johnson III (WJ-III): Spelling subtest,Alphabetics,0 Days,Full sample,False,34,17,17,17,17,91.41,85.18,11.16,13.97,,0.481110987868562,18,0.83,0.176298769354186,,,False,1,,Student,
26310,1905582,Review of Individual Studies,1464,Adult Education,Business as usual,1599,Woodcock-Johnson III (WJ III): Passage Comprehension subtest,Comprehension,0 Days,Full sample,False,34,17,17,17,17,85.82,81.18,8.14,17.78,,0.327641431800889,13,0.39,0.349790400128633,,,False,1,,Student,
26311,1905582,Review of Individual Studies,1464,Adult Education,Business as usual,239,Woodcock-Johnson III (WJ-III): Word Attack subtest,Alphabetics,0 Days,Full sample,False,34,17,17,17,17,88.24,81.47,7.66,11.83,,0.663292707074909,25,0.04,0.0688548404293545,,,False,1,,Student,
26313,1905582,Review of Individual Studies,1464,Adult Education,Business as usual,19072,Woodcock-Johnson III (WJ-III): Reading Vocabulary,Comprehension,0 Days,Full sample,False,34,17,17,17,17,82.35,81.18,5.99,8.16,,0.159598780339496,6,0.21,0.645386772008427,,,False,1,,Student,
26315,1905582,Review of Individual Studies,1464,Adult Education,Business as usual,15881,Woodcock-Johnson III Diagnostic Reading Battery (WJ-DRB III): Spelling of Sounds,Alphabetics,0 Days,Full sample,False,34,17,17,17,17,86.82,84.75,11.1,8.25,,0.206669810068253,8,0.66,0.552113979386796,,,False,1,,Student,
26316,1905582,Review of Individual Studies,1464,Adult Education,Business as usual,15865,Woodcock-Johnson III (WJ-III): Picture Vocabulary,Comprehension,0 Days,Full sample,False,34,17,17,17,17,78.59,74.76,8.87,8.79,,0.423498209537741,16,0.24,0.230973907407073,,,False,1,,Student,
26325,1905312,Assisting Students Struggling with Mathematics: Intervention in the Elementary Grades Practice Guide Review Protocol,1903,Targeted Math Intervention,Business as usual,18685,Math Recovery proximal assessment (MRp),General Mathematics Achievement,0 Days,Full sample,False,775,337,438,337,438,,,0.1,0.2,0.29,4.24692507216834,50,,0,,,True,2,Evidence Tier 2,Student,
26386,1905626,Transition to College,1492,Nudging intervention,Business as usual,20144,FAFSA submission,College Readiness,3 Months,Full sample,False,66,39,27,39,27,52,49,,,,0.0719004317442267,3,,0.774878189717209,,,False,1,,School,
26387,1905626,Transition to College,1492,Nudging intervention,Business as usual,20147,FAFSA Completion,College Readiness,3 Months,Full sample,False,66,39,27,39,27,47,43,,,,0.0968511556870564,4,,0.700127988528965,,,False,1,,School,
26388,1905626,Transition to College,1492,Nudging intervention,Business as usual,18550,Enrolled in a two-year institution,Access and enrollment,5 Months,Full sample,False,17731,8866,8865,39,27,21,23,,,,-0.0706722882133967,-3,,3.87546219349222E-06,,,False,1,,Student,
26389,1905626,Transition to College,1492,Nudging intervention,Business as usual,20164,Four-year college enrollment,Access and enrollment,5 Months,Full sample,False,17731,8866,8865,39,27,32,26,,,,0.177081449494601,7,0.01,0,,,True,1,Evidence Tier 3,Student,
26390,1905626,Transition to College,1492,Nudging intervention,Business as usual,1889,Full time enrollment,Access and enrollment,5 Months,Full sample,False,17731,8866,8865,39,27,33,29,,,,0.113449133232161,5,0.01,5.15587572635923E-13,,,True,1,Evidence Tier 3,Student,
26391,1905626,Transition to College,1492,Nudging intervention,Business as usual,1911,College enrollment,Access and enrollment,5 Months,Overall - Full sample,True,17731,8866,8865,39,27,53,50,,,,0.0728116540830521,3,,2.00743784761759E-06,,,False,1,,Student,
26392,1905627,Supporting Postsecondary Success,1493,Detroit Promise Path,Business as usual,1911,College enrollment,Access and enrollment,0 Semesters,Full sample,False,1268,829,439,829,439,66,61,,,,0.130820619802009,5,0.089,0.0274218948429823,,,False,1,,Student,
26393,1905627,Supporting Postsecondary Success,1493,Detroit Promise Path,Business as usual,2342,Persistence into second semester,Credit accumulation and persistence,0 Semesters,Full sample,False,1268,829,439,829,439,63,55,,,,0.200817979341856,8,0.01,0.000759363275055658,,,True,1,Evidence Tier 1,Student,
26430,1905222,Assisting Students Struggling with Mathematics: Intervention in the Elementary Grades Practice Guide Review Protocol,1903,Targeted Math Intervention,Business as usual,18634,Stanford Achievement Test-Tenth Edition (SAT-10) Mathematics Problem Solving (MPS),General Mathematics Achievement,9 Months,Overall - Full sample,True,203,139,64,139,64,90.31,88.27,11.58,11.16,0.07,0.135735343938422,3,0.32,0.643670799183702,,,False,1,,Student,Favorable
26431,1905222,Assisting Students Struggling with Mathematics: Intervention in the Elementary Grades Practice Guide Review Protocol,1903,Targeted Math Intervention,Business as usual,18646,Stanford Achievement Test-Tenth Edition (SAT-10) Mathematics Procedures (MP),General Mathematics Achievement,9 Months,Overall - Full sample,True,203,139,64,139,64,96.24,92.19,13.24,13.59,0.23,0.274611416354046,9,0.05,0.130517061703295,,,False,1,,Student,Favorable
26432,1905222,Assisting Students Struggling with Mathematics: Intervention in the Elementary Grades Practice Guide Review Protocol,1903,Targeted Math Intervention,Business as usual,16093,Stanford Achievement Test- Tenth Edition (SAT-10): Math,General Mathematics Achievement,9 Months,Overall - Full sample,True,203,139,64,139,64,92.27,89.39,11.95,11.75,0.15,0.203649699887587,6,0.14,0.322492984576979,,,False,1,,Student,Favorable
26433,1905222,Assisting Students Struggling with Mathematics: Intervention in the Elementary Grades Practice Guide Review Protocol,1903,Targeted Math Intervention,Business as usual,18765,"Texas Early Mathematics Inventory-Progress Monitoring (TEMI-PM) composite score (Total Score), First Grade",General Mathematics Achievement,9 Months,Full sample,False,203,139,64,139,64,89.72,78,21.264,17.67,0.5,0.547278063596974,19,,0.0012807511558719,,,True,1,Evidence Tier 3,Student,Favorable
26434,1905222,Assisting Students Struggling with Mathematics: Intervention in the Elementary Grades Practice Guide Review Protocol,1903,Targeted Math Intervention,Business as usual,18555,Magnitude Comparison subtest of the Texas Early Mathematics Inventory-Progress Monitoring (TEMI-PM),Whole Numbers Magnitude Understanding/Relative Magnitude Understanding,9 Months,Overall - Full sample,True,203,139,64,139,64,34.77,32.99,7.77,7.6,0.18,0.210429599278656,7,0.16,0.235639955343424,,,False,1,,Student,
26435,1905222,Assisting Students Struggling with Mathematics: Intervention in the Elementary Grades Practice Guide Review Protocol,1903,Targeted Math Intervention,Business as usual,18557,Number Sequences subtest of the Texas Early Mathematics Inventory-Progress Monitoring (TEMI-PM),Counting and Cardinality,9 Months,Overall - Full sample,True,203,139,64,139,64,,,,,0.47,,18,,0.00239696683317669,,,True,1,,Student,
26436,1905222,Assisting Students Struggling with Mathematics: Intervention in the Elementary Grades Practice Guide Review Protocol,1903,Targeted Math Intervention,Business as usual,18648,Texas Early Mathematics Inventories-Progress Monitoring (TEMI-PM) Place Value subtest (PV),Whole Numbers Magnitude Understanding/Relative Magnitude Understanding,9 Months,Overall - Full sample,True,203,139,64,139,64,18.04,15.78,5.42,4.46,0.39,0.438179142625863,15,,0.0111725920965053,,,True,1,,Student,
26437,1905222,Assisting Students Struggling with Mathematics: Intervention in the Elementary Grades Practice Guide Review Protocol,1903,Targeted Math Intervention,Business as usual,18649,Texas Early Mathematics Inventories-Progress Monitoring (TEMI-PM) Addition Subtraction Combinations subtest (ASC),Whole Numbers Computation,9 Months,Overall - Full sample,True,203,139,64,139,64,17.71,13.68,6.847,5.882,0.55,0.592306509090957,21,,0.000425856190784057,,,True,1,,Student,
26438,1905222,Assisting Students Struggling with Mathematics: Intervention in the Elementary Grades Practice Guide Review Protocol,1903,Targeted Math Intervention,Business as usual,18554,Texas Early Mathematics Inventories- Outcome (TEMI-O),General Mathematics Achievement,9 Months,Overall - Full sample,True,203,139,64,139,64,47.6087424447549,43.35,9.796,10.348,0.21,0.390495494562278,8,0.05,0.167008218774794,,,False,1,,Student,Favorable
26439,1905222,Assisting Students Struggling with Mathematics: Intervention in the Elementary Grades Practice Guide Review Protocol,1903,Targeted Math Intervention,Business as usual,18766,"Texas Early Mathematics Inventory-Progress Monitoring (TEMI-O) Mathematics Computation (MC) subtest, First Grade",Whole Numbers Computation,9 Months,Overall - Full sample,True,203,139,64,139,64,19.2923491335024,16.46,5.245,5.821,0.44,0.490115963510076,17,,0.00436844689174198,,,True,1,,Student,
26440,1905222,Assisting Students Struggling with Mathematics: Intervention in the Elementary Grades Practice Guide Review Protocol,1903,Targeted Math Intervention,Business as usual,18767,"Texas Early Mathematics Inventory-Outcome (TEMI-O) Mathematics Problem Solving (MPS) subtest, First Grade",General Mathematics Achievement,9 Months,Overall - Full sample,True,203,139,64,139,64,27.9412756987004,26.87,5.856,5.848,-0.05,0.148291031616513,-2,0.99,0.741026218593097,,,False,1,,Student,Unfavorable
26458,1905515,Assisting Students Struggling with Mathematics: Intervention in the Elementary Grades Practice Guide Review Protocol,1774,ROOTS,Business as usual,18672,Stanford Early School Achievement Test (SESAT),General Mathematics Achievement,5 Months,Full sample,False,275,194,81,194,81,410.03,401.08,38.24,34.44,0.24,0.240144710574462,9,0.0158,0.0714119650593669,,,True,2,Evidence Tier 3,Student,
